filename,ingredients,cooking_methods,sauce,garnishes
mushroom_curry_85.png,mushroom,,curry,
meat_fish_frog_legs_raw_86.png,meat|fish|frog_legs,raw,none,
root_vegetables_stewed_raw_tomato_sauce_flowers_none_87.png,root_vegetables,stewed|raw,tomato_sauce,flowers|none
frog_legs_fish_root_vegetables_baked_herbs_none_88.png,frog_legs|fish|root_vegetables,baked,none,herbs|none
meat_raw_89.png,meat,raw,none,
frog_legs_fish_mushroom_raw_stewed_herbs_90.png,frog_legs|fish|mushroom,raw|stewed,none,herbs
frog_legs_raw_grilled_brown_broth_flowers_herbs_91.png,frog_legs,raw|grilled,brown_broth,flowers|herbs
mushroom_fish_frog_legs_brown_broth_92.png,mushroom|fish|frog_legs,,brown_broth,
mushroom_raw_baked_curry_chili_flakes_flowers_93.png,mushroom,raw|baked,curry,chili_flakes|flowers
meat_94.png,meat,,none,
root_vegetables_mushroom_raw_brown_broth_chili_flakes_95.png,root_vegetables|mushroom,raw,brown_broth,chili_flakes
root_vegetables_green_emulsion_none_96.png,root_vegetables,,green_emulsion,none
frog_legs_stewed_raw_green_emulsion_herbs_97.png,frog_legs,stewed|raw,green_emulsion,herbs
root_vegetables_meat_frog_legs_grilled_tomato_sauce_chili_flakes_98.png,root_vegetables|meat|frog_legs,grilled,tomato_sauce,chili_flakes
frog_legs_brown_broth_99.png,frog_legs,,brown_broth,
